description,image_all,price,title
"Available for Waist 19"" - 63"" | Petite - Tall Primary Fabric: 100% Cotton - Yarn Dyed, Crinkled Pattern: Stripes Color: Sky Blue Style: Short Length: Mid-Thigh Length Mid Rise waist Half Elasticated Waist This garment has Inseam Pocket Number of Pockets: 2 Garment Transparency: Translucent Comfort Fit Gathers at waist Take a break from your busy life, and relax in our cool and breezy short shorts. Made from yarn-dyed 100% crinkled cotton, it features half elasticated waist for ease of wear, and inseam pockets for added functionality. Take it out on a sunny day styled with a white camisole and slide sandals for a walk along the beach.Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography purposes. These","//cdn.shopify.com/s/files/1/0534/2501/2925/products/sky-blue-crinkled-cotton-short-shorts-short-shorts-561579_800x.jpg?v=1625850697,//cdn.shopify.com/s/files/1/0534/2501/2925/products/sky-blue-crinkled-cotton-short-shorts-short-shorts-462658_800x.jpg?v=1625850697,//cdn.shopify.com/s/files/1/0534/2501/2925/products/sky-blue-crinkled-cotton-short-shorts-short-shorts-521363_800x.jpg?v=1625850698,//cdn.shopify.com/s/files/1/0534/2501/2925/products/sky-blue-crinkled-cotton-short-shorts-short-shorts-106361_800x.jpg?v=1625850697,//cdn.shopify.com/s/files/1/0534/2501/2925/products/sky-blue-crinkled-cotton-short-shorts-short-shorts-284311_800x.jpg?v=1625850697,//cdn.shopify.com/s/files/1/0534/2501/2925/products/sky-blue-crinkled-cotton-short-shorts-short-shorts-262102_800x.jpg?v=1625850697,//cdn.shopify.com/s/files/1/0534/2501/2925/products/sky-blue-crinkled-cotton-short-shorts-short-shorts-656328_800x.jpg?v=1625850698","3,520",Sky Blue Crinkled Cotton Short Shorts
"Available for Waist 19"" - 63"" | Petite - Tall Primary Fabric: 100% Cotton - Vegetable Dyed in Ahmedabad (Gujarat), Handspun, Hand Woven in Nagri (Tamil Nadu) Pattern: Solid Color: Brick Red Style: Short Length: Mid-Thigh Length Mid Rise waist Full Elasticated Waist, Attached Belt at Waist This garment has Patch Pocket, Mobile Pocket Number of Pockets: 4 Garment Transparency: Opaque Comfort Fit Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography purposes. These will not be included in your order.We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts.SKU: WSRT21B--------------------------- HANDSPUN AND HAND WOVEN + VEGETABLE DYED + When","//cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-vegetable-dyed-handspun-short-shorts-short-shorts-663628_800x.jpg?v=1626188524,//cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-vegetable-dyed-handspun-short-shorts-short-shorts-577627_800x.jpg?v=1626188524,//cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-vegetable-dyed-handspun-short-shorts-short-shorts-578294_800x.jpg?v=1626188524,//cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-vegetable-dyed-handspun-short-shorts-short-shorts-461294_800x.jpg?v=1626188524,//cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-vegetable-dyed-handspun-short-shorts-short-shorts-392414_800x.jpg?v=1626188524,//cdn.shopify.com/s/files/1/0534/2501/2925/products/brick-red-vegetable-dyed-handspun-short-shorts-short-shorts-354640_800x.jpg?v=1626188524","4,660",Brick Red Vegetable Dyed Handspun Short Shorts
"Available for Waist 19"" - 63"" | Petite - Tall Primary Fabric: 100% Cotton Pattern: Solid Color: Olive Green Style: Straight Length: Mid-Thigh Length Mid Rise waist Full Elasticated Waist This garment has Inseam Pocket Number of Pockets: 2 Garment Transparency: Opaque Comfort Fit Drawstring at Waist Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography purposes. These will not be included in your order.We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts.SKU: WSRT2B--------------------------- 100% COTTON 100% Cotton is the epitome of versatility and longevity. It is breathable and super absorbent, keeping you fresh all day. Cotton does not","//cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-straight-shorts-straight-shorts-148624_800x.jpg?v=1611242437,//cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-straight-shorts-straight-shorts-974322_800x.jpg?v=1611242437,//cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-straight-shorts-straight-shorts-403116_800x.jpg?v=1611242437,//cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-straight-shorts-straight-shorts-685767_800x.jpg?v=1611242437,//cdn.shopify.com/s/files/1/0534/2501/2925/products/olive-green-cotton-straight-shorts-straight-shorts-553617_800x.jpg?v=1611242437","1,880",Olive Green Cotton Straight Shorts
"Available for Waist 19"" - 63"" | Petite - Tall Primary Fabric: 100% Cotton Pattern: Solid Color: Teal Button Type: Shell Style: Short Length: Mid-Thigh Length Low Rise waist Half Elasticated Waist This garment has Slash Pocket Number of Pockets: 2 Garment Transparency: Opaque Comfort Fit Drawstring at waist Functional Specialty: Curved Hem Take a break from your busy life, and relax in our cool and breezy short shorts. Made from100% cotton, it features half elasticated waist for effortless wearing, and slash pockets for added functionality. It comes complete with sea-shell buttons and a drawstring at the waist. Take it out on a sunny day styled with a white camisole and slide sandals for a walk along the beach.Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.Disclaimer: All products shown in this picture, apart from","//cdn.shopify.com/s/files/1/0534/2501/2925/products/JNPR3311_139c52a6-d380-4451-9b09-d65833ae47ac_800x.jpg?v=1640770756,//cdn.shopify.com/s/files/1/0534/2501/2925/products/JNPR3308_d0042ac0-8751-43a7-ac51-f538ba625d06_800x.jpg?v=1640770769,//cdn.shopify.com/s/files/1/0534/2501/2925/products/JNPR3301_98320ddb-c017-4b0b-b3bb-60053f5572ff_800x.jpg?v=1640770769,//cdn.shopify.com/s/files/1/0534/2501/2925/products/JNPR3316_9952abf8-9c5a-4bed-be5f-6e4d3f3cf79a_800x.jpg?v=1640770769,//cdn.shopify.com/s/files/1/0534/2501/2925/products/JNPR3304_a76078cd-90b4-42f5-b9ea-91b50c182a50_800x.jpg?v=1640770769","3,140",Teal Blue Low Rise Short Cotton Shorts
"Available for Waist 19"" - 63"" | Petite - Tall Primary Fabric: 100% Cotton - Vegetable Dyed in Ahmedabad (Gujarat), Handspun, Hand Woven in Nagri (Tamil Nadu) Pattern: Solid Color: Rust Style: Short Length: Mid-Thigh Length Mid Rise waist Full Elasticated Waist, Attached Belt at Waist This garment has Patch Pocket, Mobile Pocket Number of Pockets: 4 Garment Transparency: Opaque Comfort Fit Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography purposes. These will not be included in your order.We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts.SKU: WSRT21D--------------------------- HANDSPUN AND HAND WOVEN + VEGETABLE DYED + When fiber","//cdn.shopify.com/s/files/1/0534/2501/2925/products/rust-vegetable-dyed-handspun-short-shorts-short-shorts-117885_800x.jpg?v=1626282778,//cdn.shopify.com/s/files/1/0534/2501/2925/products/rust-vegetable-dyed-handspun-short-shorts-short-shorts-529557_800x.jpg?v=1626282778,//cdn.shopify.com/s/files/1/0534/2501/2925/products/rust-vegetable-dyed-handspun-short-shorts-short-shorts-544971_800x.jpg?v=1626282778,//cdn.shopify.com/s/files/1/0534/2501/2925/products/rust-vegetable-dyed-handspun-short-shorts-short-shorts-357087_800x.jpg?v=1626282778,//cdn.shopify.com/s/files/1/0534/2501/2925/products/rust-vegetable-dyed-handspun-short-shorts-short-shorts-292549_800x.jpg?v=1626282778,//cdn.shopify.com/s/files/1/0534/2501/2925/products/rust-vegetable-dyed-handspun-short-shorts-short-shorts-541891_800x.jpg?v=1626282778","4,660",Rust Vegetable Dyed Handspun Short Shorts
"Available for Waist 19"" - 63"" | Petite - Tall Craft: Bagru Hand Block Print Primary Fabric: 100% Cotton - Natural Dyed, Hand Block Printed in Bagru (Rajasthan) Pattern: Stripes Color: Black Button Type: Wood Style: Short Length: Mid-Thigh Length Mid Rise waist This garment has Slash Pocket, Mobile Pocket Number of Pockets: 4 Garment Transparency: Translucent Slim Fit Belt Loops Exposed Zip at Front A cute pair of striped short shorts made of breathable cotton, printed in natural Bagru print, and has slant pockets with additional mobile pockets. What is more snug and cute? Pair it with a black crop top, and head out for a brunch or the beach!Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography","//cdn.shopify.com/s/files/1/0534/2501/2925/products/striped-mobile-pocket-short-shorts-short-shorts-367433_800x.jpg?v=1626171990,//cdn.shopify.com/s/files/1/0534/2501/2925/products/striped-mobile-pocket-short-shorts-short-shorts-511714_800x.jpg?v=1626171990,//cdn.shopify.com/s/files/1/0534/2501/2925/products/striped-mobile-pocket-short-shorts-short-shorts-997255_800x.jpg?v=1626171990,//cdn.shopify.com/s/files/1/0534/2501/2925/products/striped-mobile-pocket-short-shorts-short-shorts-429509_800x.jpg?v=1626171990,//cdn.shopify.com/s/files/1/0534/2501/2925/products/striped-mobile-pocket-short-shorts-short-shorts-306455_800x.jpg?v=1626171990","3,010",Striped Mobile Pocket Bagru Short Shorts
"Available for Waist 19"" - 63"" | Petite - Tall Primary Fabric: 100% Cotton Muslin - Yarn Dyed, Azo-Free Dyed, Handspun, Hand Woven in Murshidabad (West Bengal) This is a lined garment Pattern: Checks Color: Powder Pink Style: Paneled Length: Micro Length Mid Rise waist Full Elasticated Waist This garment has Slash Pocket Number of Pockets: 2 Garment Transparency: Opaque Comfort Fit Drawstring at waist Perfect for a Sunday brunch, these paneled shorts are a blend of comfy and chic. Made from Azo-Free dyed 100% cotton, it features slash pockets for all your essentials. These micro-length shorts come complete with a fully elasticated waist for a snug fit. Style it with an off-white camisole and flip-ons, and be sure to get noticed.Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.Disclaimer: All products shown in this","//cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-pink-handspun-paneled-shorts-paneled-shorts-609353_800x.jpg?v=1626282304,//cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-pink-handspun-paneled-shorts-paneled-shorts-274630_800x.jpg?v=1626282304,//cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-pink-handspun-paneled-shorts-paneled-shorts-267122_800x.jpg?v=1626282304,//cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-pink-handspun-paneled-shorts-paneled-shorts-778319_800x.jpg?v=1626282304,//cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-pink-handspun-paneled-shorts-paneled-shorts-957734_800x.jpg?v=1626282304","4,450",Powder Pink Handspun Mid Rise Shorts
"Available for Waist 19"" - 63"" | Petite - Tall Primary Fabric: 100% Cotton Flannel Pattern: Solid Color: Dusk Beige Button Type: Coconut Style: Short Length: Mid-Thigh Length High Rise waist Banded waist This garment has Inseam Pocket Number of Pockets: 2 Garment Transparency: Opaque Slim Fit Exposed Zip at Front Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography purposes. These will not be included in your order.We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts.SKU: WSRT53 Shop this look Buy the Top Buy the 2-Piece Co-ord Set --------------------------- 100% COTTON 100% Cotton is the epitome of versatility","//cdn.shopify.com/s/files/1/0534/2501/2925/products/warm-dusk-beige-cotton-flannel-shorts-short-shorts-198205_800x.jpg?v=1626083754,//cdn.shopify.com/s/files/1/0534/2501/2925/products/warm-dusk-beige-cotton-flannel-shorts-short-shorts-293835_800x.jpg?v=1626083754,//cdn.shopify.com/s/files/1/0534/2501/2925/products/warm-dusk-beige-cotton-flannel-shorts-short-shorts-925155_800x.jpg?v=1626083754,//cdn.shopify.com/s/files/1/0534/2501/2925/products/warm-dusk-beige-cotton-flannel-shorts-short-shorts-145757_800x.jpg?v=1626083754,//cdn.shopify.com/s/files/1/0534/2501/2925/products/warm-dusk-beige-cotton-flannel-shorts-short-shorts-113220_800x.jpg?v=1626083754","3,390",Warm Dusk Beige Cotton Flannel Shorts
"Available for Waist 19"" - 63"" | Petite - Tall Primary Fabric: 100% Cotton - Vegetable Dyed in Ahmedabad (Gujarat), Handspun, Hand Woven in Nagri (Tamil Nadu) Pattern: Solid Color: Powder Blue Style: Short Length: Mid-Thigh Length Mid Rise waist Full Elasticated Waist, Attached Belt at Waist This garment has Patch Pocket, Mobile Pocket Number of Pockets: 4 Garment Transparency: Opaque Comfort Fit Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography purposes. These will not be included in your order.We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts.SKU: WSRT21A--------------------------- HANDSPUN AND HAND WOVEN + VEGETABLE DYED + When","//cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-blue-vegetable-dyed-handspun-short-shorts-short-shorts-323649_800x.jpg?v=1626282234,//cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-blue-vegetable-dyed-handspun-short-shorts-short-shorts-832460_800x.jpg?v=1626282234,//cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-blue-vegetable-dyed-handspun-short-shorts-short-shorts-569170_800x.jpg?v=1626282234,//cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-blue-vegetable-dyed-handspun-short-shorts-short-shorts-380090_800x.jpg?v=1626282234,//cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-blue-vegetable-dyed-handspun-short-shorts-short-shorts-515609_800x.jpg?v=1626282234,//cdn.shopify.com/s/files/1/0534/2501/2925/products/powder-blue-vegetable-dyed-handspun-short-shorts-short-shorts-276819_800x.jpg?v=1626282234","4,660",Powder Blue Vegetable Dyed Handspun Short Shorts
"Available for Waist 19"" - 63"" | Petite - Tall Craft: Sanganeri Hand Block Print Primary Fabric: 100% Cotton - Azo-Free Dyed, Hand Block Printed in Sanganer (Rajasthan) This is a lined garment This garment is Hand Embroidered Pattern: Paisley, Contemporary Color: White, Pink Lace: Block-Printed Lace Style: Short Length: Mid-Thigh Length Mid Rise waist Banded waist This garment has Inseam Pocket Number of Pockets: 2 Garment Transparency: Opaque Relaxed Fit Tie-Up at waist Heading out to the beach? This summer stroll in style with our short shorts. With banded waist and inseam pockets, this is the most versatile a pair of shorts can get. It is made from 100% cotton, and features hand-block printed paisleys. Style it with a pink crop top to strike a pose wherever you go.Our artisans craft each piece, exclusively for you. Being handcrafted, every","//cdn.shopify.com/s/files/1/0534/2501/2925/products/white-handblock-printed-paisley-short-shorts-short-shorts-799175_800x.jpg?v=1626371001,//cdn.shopify.com/s/files/1/0534/2501/2925/products/white-handblock-printed-paisley-short-shorts-short-shorts-554380_800x.jpg?v=1626371001,//cdn.shopify.com/s/files/1/0534/2501/2925/products/white-handblock-printed-paisley-short-shorts-short-shorts-425966_800x.jpg?v=1626371001,//cdn.shopify.com/s/files/1/0534/2501/2925/products/white-handblock-printed-paisley-short-shorts-short-shorts-622898_800x.jpg?v=1626371001,//cdn.shopify.com/s/files/1/0534/2501/2925/products/white-handblock-printed-paisley-short-shorts-short-shorts-684463_800x.jpg?v=1626371001","3,800",White Mid Rise Paisley Short Shorts
"Available for Waist 19"" - 63"" | Petite - Tall Primary Fabric: 100% Cotton Pattern: Solid Color: Beige Style: Straight Length: Mid-Thigh Length Mid Rise waist Full Elasticated Waist This garment has Inseam Pocket Number of Pockets: 2 Garment Transparency: Opaque Comfort Fit Drawstring at Waist Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography purposes. These will not be included in your order.We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts.SKU: WSRT2C--------------------------- 100% COTTON 100% Cotton is the epitome of versatility and longevity. It is breathable and super absorbent, keeping you fresh all day. Cotton does not retain","//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-mid-rise-cotton-straight-shorts-straight-shorts-665511_800x.jpg?v=1611242420,//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-mid-rise-cotton-straight-shorts-straight-shorts-112654_800x.jpg?v=1611242420,//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-mid-rise-cotton-straight-shorts-straight-shorts-691123_800x.jpg?v=1611242420,//cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-mid-rise-cotton-straight-shorts-straight-shorts-493265_800x.jpg?v=1611242420","1,880",Beige Mid-Rise Cotton Straight Shorts
"Available for Waist 19"" - 63"" | Petite - Tall Primary Fabric: 100% Cotton Pattern: Solid Color: Teal Style: Straight Length: Mid-Thigh Length Mid Rise waist Full Elasticated Waist This garment has Inseam Pocket Number of Pockets: 2 Garment Transparency: Opaque Comfort Fit Drawstring at Waist Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling and Photography purposes. These will not be included in your order.We have an array of size and style options in shorts. We offer tall women's shorts and women's petite shorts. Scroll through our range of best plus size shorts.SKU: WSRT2A--------------------------- 100% COTTON 100% Cotton is the epitome of versatility and longevity. It is breathable and super absorbent, keeping you fresh all day. Cotton does not retain","//cdn.shopify.com/s/files/1/0534/2501/2925/products/IMG_2137_800x.jpg?v=1640772528,//cdn.shopify.com/s/files/1/0534/2501/2925/products/IMG_2136_800x.jpg?v=1640772528,//cdn.shopify.com/s/files/1/0534/2501/2925/products/IMG_2133_800x.jpg?v=1640772528,//cdn.shopify.com/s/files/1/0534/2501/2925/products/IMG_2142_800x.jpg?v=1640772528,//cdn.shopify.com/s/files/1/0534/2501/2925/products/IMG_2141_800x.jpg?v=1640772520","1,880",Teal Mid-Rise Cotton Straight Shorts
"Available for Waist 19"" - 63"" | Petite - Tall Primary Fabric: 100% Cotton - Yarn Dyed This is a lined garment Pattern: Solid Color: Mint Green Style: Short Length: Mid-Thigh Length Mid Rise waist Half Elasticated Waist This garment has Inseam Pocket Number of Pockets: 2 Garment Transparency: Opaque Comfort Fit Gathers at front Nothing's better than a pair of mint green shorts on a hot sunny day. Made from 100% cotton chambray, it is soft, breezy, and comfortable to wear. It features a half elasticated waist for a snug fit and inseam pockets to carry your stuff. These gathered shorts can be perfectly paired with a blue top and slide sandals.Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.Disclaimer: All products shown in this picture, apart from these Shorts, are purely for Styling","//cdn.shopify.com/s/files/1/0534/2501/2925/products/mint-green-cotton-chambray-short-shorts-short-shorts-179758_800x.jpg?v=1626280045,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mint-green-cotton-chambray-short-shorts-short-shorts-310386_800x.jpg?v=1626280045,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mint-green-cotton-chambray-short-shorts-short-shorts-632889_800x.jpg?v=1626280045,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mint-green-cotton-chambray-short-shorts-short-shorts-532215_800x.jpg?v=1626280045,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mint-green-cotton-chambray-short-shorts-short-shorts-981076_800x.jpg?v=1626280045,//cdn.shopify.com/s/files/1/0534/2501/2925/products/mint-green-cotton-chambray-short-shorts-short-shorts-542178_800x.jpg?v=1626280045","3,200",Mint Green Cotton Chambray Shorts
"Available for Waist 19"" - 63"" | Petite - Tall Craft: Tie Dye Primary Fabric: 100% Cotton - Hand Tie Dyed in Sanganer (Rajasthan) This is a lined garment Pattern: Solid, Stripes Color: Blue Button Type: Shell Style: Short Length: Mid-Thigh Length Mid Rise waist Half Elasticated Waist This garment has Slash Pocket Number of Pockets: 2 Garment Transparency: Opaque Comfort Fit Drawstring at both sides Comfy and light, these hand Tie Dyed shorts are perfect for anyone who enjoys a breakfast by the waves. It is made from 100% cotton, with elasticated waist for the ease of wearing and patch pockets to carry your stuff. Get out in the sun wearing these shorts with a white spaghetti top and slide sandals.Our artisans craft each piece, exclusively for you. Being handcrafted, every garment is unique.Disclaimer: All products shown in this","//cdn.shopify.com/s/files/1/0534/2501/2925/products/aqua-blue-tie-dye-short-shorts-short-shorts-411870_800x.jpg?v=1626187030,//cdn.shopify.com/s/files/1/0534/2501/2925/products/aqua-blue-tie-dye-short-shorts-short-shorts-570714_800x.jpg?v=1626187030,//cdn.shopify.com/s/files/1/0534/2501/2925/products/aqua-blue-tie-dye-short-shorts-short-shorts-751966_800x.jpg?v=1626187030,//cdn.shopify.com/s/files/1/0534/2501/2925/products/aqua-blue-tie-dye-short-shorts-short-shorts-718582_800x.jpg?v=1626187030,//cdn.shopify.com/s/files/1/0534/2501/2925/products/aqua-blue-tie-dye-short-shorts-short-shorts-521735_800x.jpg?v=1626187030,//cdn.shopify.com/s/files/1/0534/2501/2925/products/aqua-blue-tie-dye-short-shorts-short-shorts-238076_800x.jpg?v=1626187030,//cdn.shopify.com/s/files/1/0534/2501/2925/products/aqua-blue-tie-dye-short-shorts-short-shorts-184257_800x.jpg?v=1626187030","3,390",Aqua Blue Hand Tie Dyed Short Shorts
